Rank,CCA3,Country/Territory,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
224,AIA,Anguilla,The Valley,North America,91,174.2527,1.0066,0.0,1970,6283
94,HUN,Hungary,Budapest,Europe,93028,107.1431,1.0265,0.12,1970,10315366
104,HKG,Hong Kong,Hong Kong,Asia,1104,6783.3922,0.9992,0.09,1970,3955072
89,HND,Honduras,Tegucigalpa,North America,112492,92.7431,1.015,0.13,1970,2782753
82,HTI,Haiti,Port-au-Prince,North America,27750,417.4773,1.012,0.15,1970,4680812
164,GUY,Guyana,Georgetown,South America,214969,3.7621,1.0052,0.01,1970,705261
149,GNB,Guinea-Bissau,Bissau,Africa,36125,58.2856,1.0218,0.03,1970,591663
75,GIN,Guinea,Conakry,Africa,245857,56.3716,1.0242,0.17,1970,4222374
207,GGY,Guernsey,Saint Peter Port,Europe,78,811.5513,1.0037,0.0,1970,52656
68,GTM,Guatemala,Guatemala City,North America,108889,163.8725,1.0134,0.22,1970,5453208
191,GUM,Guam,Hagåtña,Oceania,549,312.8852,1.0073,0.0,1970,88300
178,GLP,Guadeloupe,Basse-Terre,North America,1628,243.0909,0.9992,0.0,1970,318310
193,GRD,Grenada,Saint George's,North America,344,364.6453,1.0066,0.0,1970,98794
208,GRL,Greenland,Nuuk,North America,2166086,0.0261,1.004,0.0,1970,45434
90,GRC,Greece,Athens,Europe,131990,78.68,0.9942,0.13,1970,8544873
219,GIB,Gibraltar,Gibraltar,Europe,6,5441.5,0.9994,0.0,1970,26685
47,GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,1970,8861895
19,DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,1970,78294583
131,GEO,Georgia,Tbilisi,Asia,69700,53.7214,0.9964,0.05,1970,4800426
142,GMB,Gambia,Banjul,Africa,10689,253.1567,1.025,0.03,1970,528731
146,GAB,Gabon,Libreville,Africa,267668,8.9252,1.0204,0.03,1970,597192
183,PYF,French Polynesia,Papeete,Oceania,4167,73.5011,1.0074,0.0,1970,117891
184,GUF,French Guiana,Cayenne,South America,83534,3.6459,1.0239,0.0,1970,46484
23,FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,1970,50523586
118,FIN,Finland,Helsinki,Europe,338424,16.3722,1.0009,0.07,1970,4606621
162,FJI,Fiji,Suva,Oceania,18272,50.8847,1.0056,0.01,1970,527634
179,ISL,Iceland,Reykjavík,Europe,103000,3.6204,1.0069,0.0,1970,204468
2,IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,1970,557501301
4,IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,1970,115228394
17,IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,1970,28449705
50,MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,1970,6639751
167,MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,1970,247284
168,LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,1970,339342
141,LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,1970,3210147
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0.0,1970,21089
107,LBY,Libya,Tripoli,Africa,1759540,3.8717,1.0114,0.09,1970,1909177
121,LBR,Liberia,Monrovia,Africa,111369,47.6136,1.021,0.07,1970,1463563
147,LSO,Lesotho,Maseru,Africa,30355,75.962,1.0107,0.03,1970,1023481
119,LBN,Lebanon,Beirut,Asia,10452,525.2334,0.9816,0.07,1970,2381791
151,LVA,Latvia,Riga,Europe,64559,28.666,0.9876,0.02,1970,2397414
103,LAO,Laos,Vientiane,Asia,236800,31.7968,1.0141,0.09,1970,2675283
110,KGZ,Kyrgyzstan,Bishkek,Asia,199951,33.1612,1.0158,0.08,1970,3016384
231,FLK,Falkland Islands,Stanley,South America,12173,0.3105,1.0043,0.0,1970,2274
129,KWT,Kuwait,Kuwait City,Asia,17818,239.5821,1.0044,0.05,1970,802786
27,KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,1970,11473087
66,KAZ,Kazakhstan,Nursultan,Asia,2724900,7.1188,1.0105,0.24,1970,12265305
83,JOR,Jordan,Amman,Asia,89342,126.3221,1.0123,0.14,1970,1557374
195,JEY,Jersey,Saint Helier,Europe,116,954.9828,1.0106,0.0,1970,68347
11,JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,1970,105416839
139,JAM,Jamaica,Kingston,North America,10991,257.2447,0.9999,0.04,1970,1859091
52,CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,1970,5477086
25,ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,1970,53324036
98,ISR,Israel,Jerusalem,Asia,20770,435.1617,1.0155,0.11,1970,2907307
202,IMN,Isle of Man,Douglas,Europe,572,147.7605,1.003,0.0,1970,55298
125,IRL,Ireland,Dublin,Europe,70273,71.4799,1.0073,0.06,1970,2937637
35,IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,1970,9811347
192,KIR,Kiribati,Tarawa,Oceania,811,161.815,1.0183,0.0,1970,57437
12,ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,1970,28308246
159,SWZ,Eswatini,Mbabane,Africa,17364,69.2047,1.0079,0.02,1970,442865
156,EST,Estonia,Tallinn,Europe,45227,29.3201,0.998,0.02,1970,1361999
108,BGR,Bulgaria,Sofia,Europe,110879,61.1654,0.9849,0.09,1970,8582950
175,BRN,Brunei,Bandar Seri Begawan,Asia,5765,77.8841,1.0081,0.01,1970,133343
221,VGB,British Virgin Islands,Road Town,North America,151,207.3179,1.0059,0.0,1970,9581
7,BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,1970,96369875
144,BWA,Botswana,Gaborone,Africa,582000,4.5194,1.0162,0.03,1970,592244
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe,51209,63.1437,0.9886,0.04,1970,3815561
80,BOL,Bolivia,Sucre,South America,1098581,11.1272,1.012,0.15,1970,4585693
165,BTN,Bhutan,Thimphu,Asia,38394,20.3796,1.0064,0.01,1970,298894
206,BMU,Bermuda,Hamilton,North America,54,1188.5926,1.0,0.0,1970,52019
77,BEN,Benin,Porto-Novo,Africa,112622,118.5635,1.0274,0.17,1970,3023443
177,BLZ,Belize,Belmopan,North America,22966,17.6466,1.0131,0.01,1970,120905
81,BEL,Belgium,Brussels,Europe,30528,381.8111,1.0038,0.15,1970,9629376
58,BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,1970,5611666
96,BLR,Belarus,Minsk,Europe,207600,45.9295,0.9955,0.12,1970,9170786
8,BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,1970,67541860
154,BHR,Bahrain,Manama,Asia,765,1924.4876,1.0061,0.02,1970,222555
176,BHS,Bahamas,Nassau,North America,13943,29.4043,1.0051,0.01,1970,179129
91,AZE,Azerbaijan,Baku,Asia,86600,119.6082,1.0044,0.13,1970,5425317
99,AUT,Austria,Vienna,Europe,83871,106.5877,1.002,0.11,1970,7465301
55,AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,1970,12595034
198,ABW,Aruba,Oranjestad,North America,180,591.3611,0.9991,0.0,1970,59106
140,ARM,Armenia,Yerevan,Asia,29743,93.4831,0.9962,0.03,1970,2534377
33,ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,1970,23842803
201,ATG,Antigua and Barbuda,Saint John’s,North America,442,212.1335,1.0058,0.0,1970,64516
138,ALB,Albania,Tirana,Europe,28748,98.8702,0.9957,0.04,1970,2324731
36,AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,1970,10752971
186,BRB,Barbados,Bridgetown,North America,430,654.9651,1.0015,0.0,1970,241397
62,MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,1970,4625141
78,BDI,Burundi,Bujumbura,Africa,27834,463.0874,1.027,0.16,1970,3497834
53,CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,1970,6452787
132,ERI,Eritrea,Asmara,Africa,117600,31.3268,1.0176,0.05,1970,1272748
152,GNQ,Equatorial Guinea,Malabo,Africa,28051,59.7094,1.0247,0.02,1970,316955
112,SLV,El Salvador,San Salvador,North America,21041,301.145,1.0035,0.08,1970,3619090
14,EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,1970,34781986
67,ECU,Ecuador,Quito,South America,276841,65.0229,1.0114,0.23,1970,6172215
15,COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,1970,20151733
84,DOM,Dominican Republic,Santo Domingo,North America,48671,230.7087,1.01,0.14,1970,4475871
204,DMA,Dominica,Roseau,North America,751,96.8535,1.0045,0.0,1970,68895
160,DJI,Djibouti,Djibouti,Africa,23200,48.3125,1.0138,0.01,1970,144379
115,DNK,Denmark,Copenhagen,Europe,43094,136.4984,1.0048,0.07,1970,4922963
88,CZE,Czech Republic,Prague,Europe,78865,133.0627,0.9984,0.13,1970,9795744
158,CYP,Cyprus,Nicosia,Europe,9251,135.2814,1.0059,0.02,1970,640804
73,KHM,Cambodia,Phnom Penh,Asia,181035,92.6221,1.0108,0.21,1970,6708525
189,CUW,Curacao,Willemstad,North America,444,430.5473,1.0043,0.0,1970,150385
130,HRV,Croatia,Zagreb,Europe,56594,71.2153,0.9927,0.05,1970,4492638
124,CRI,Costa Rica,San José,North America,51100,101.3861,1.0052,0.06,1970,1855697
223,COK,Cook Islands,Avarua,Oceania,236,72.0805,1.0005,0.0,1970,20470
163,COM,Comoros,Moroni,Africa,1862,449.3953,1.0184,0.01,1970,242351
28,COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,1970,20905254
1,CHN,China,Beijing,Asia,9706961,146.8933,1.0,17.88,1970,822534450
65,CHL,Chile,Santiago,South America,756102,25.9274,1.0057,0.25,1970,9820481
69,TCD,Chad,N'Djamena,Africa,1284000,13.8032,1.0316,0.22,1970,3667394
117,CAF,Central African Republic,Bangui,Africa,622984,8.9555,1.0224,0.07,1970,2067356
205,CYM,Cayman Islands,George Town,North America,264,260.25,1.0084,0.0,1970,10533
171,CPV,Cape Verde,Praia,Africa,4033,147.0739,1.0089,0.01,1970,287262
39,CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,1970,21434577
85,CUB,Cuba,Havana,North America,109884,102.0366,0.9961,0.14,1970,8869636
45,MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,1970,10306508
209,FRO,Faroe Islands,Tórshavn,Europe,1393,38.112,1.0038,0.0,1970,38416
59,MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,1970,6153587
100,TGO,Togo,Lomé,Africa,56785,155.8281,1.0236,0.11,1970,2197383
155,TLS,Timor-Leste,Dili,Asia,14874,90.1772,1.0154,0.02,1970,554021
20,THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,1970,35791728
22,TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,1970,13618192
95,TJK,Tajikistan,Dushanbe,Asia,143100,69.5513,1.0208,0.12,1970,2993019
57,TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,1970,14957870
60,SYR,Syria,Damascus,Asia,185180,119.4797,1.0376,0.28,1970,6319199
101,CHE,Switzerland,Bern,Europe,41284,211.7157,1.0056,0.11,1970,6181227
87,SWE,Sweden,Stockholm,Europe,450295,23.4276,1.0079,0.13,1970,8027702
170,SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,1970,379918
32,SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,1970,11305206
61,LKA,Sri Lanka,Colombo,Asia,65610,332.7563,1.0027,0.27,1970,12388769
30,ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,1970,33792617
86,SSD,South Sudan,Juba,Africa,619745,17.6091,1.0153,0.14,1970,3342410
29,KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,1970,32601143
24,ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,1970,22368306
70,SOM,Somalia,Mogadishu,Africa,637657,27.5971,1.0312,0.22,1970,3720977
166,SLB,Solomon Islands,Honiara,Oceania,28896,25.0648,1.0232,0.01,1970,172833
148,SVN,Slovenia,Ljubljana,Europe,20273,104.5649,1.0002,0.03,1970,1741286
116,SVK,Slovakia,Bratislava,Europe,49037,115.0856,1.0359,0.07,1970,4522867
214,SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0.0,1970,6260
113,SGP,Singapore,Singapore,Asia,710,8416.4634,1.0058,0.07,1970,2061831
102,SLE,Sierra Leone,Freetown,Africa,71740,119.957,1.022,0.11,1970,2778557
196,SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0.0,1970,54379
105,SRB,Serbia,Belgrade,Europe,88361,81.7257,0.9897,0.09,1970,7193533
233,TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0.0,1970,1714
197,TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0.0,1970,86484
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,5130,298.4491,1.0035,0.02,1970,988890
79,TUN,Tunisia,Tunis,Africa,163610,75.5218,1.0076,0.15,1970,5047404
